<EDF-P> 6: Completed Requests: 2000, Min: 0.0890000000181317, Max: 0.317000000064581, Mean: 0.185386500037768, 99th Perc: 0.277000000056432, MeanIC: 0.893134444444443, FlowsMissed: 254
<Vriksha> 6: Completed Requests: 2000, Min: 0.0870000000177242, Max: 0.274000000055821, Mean: 0.173170000035279, 99th Perc: 0.243000000049506, MeanIC: 0.980179444444445, FlowsMissed: 0
<SJF-P> 6: Completed Requests: 2000, Min: 0.0830000000169093, Max: 0.317000000064581, Mean: 0.183835500037452, 99th Perc: 0.274000000055821, MeanIC: 0.919788888888889, FlowsMissed: 0
<TCP> 7: Completed Requests: 2000, Min: 0.0910000000185391, Max: 0.345000000070286, Mean: 0.204727000041708, 99th Perc: 0.307000000062544, MeanIC: 0.893880555555556, FlowsMissed: 0
<EDF-NP> 7: Completed Requests: 2000, Min: 0.10200000002078, Max: 0.31400000006397, Mean: 0.192345000039186, 99th Perc: 0.277000000056432, MeanIC: 0.806556111111111, FlowsMissed: 0
<EDF-P> 7: Completed Requests: 2000, Min: 0.101000000020576, Max: 0.31400000006397, Mean: 0.193813000039485, 99th Perc: 0.283000000057655, MeanIC: 0.799892777777779, FlowsMissed: 715
<Vriksha> 7: Completed Requests: 2000, Min: 0.088000000017928, Max: 0.294000000059896, Mean: 0.181327500036941, 99th Perc: 0.244000000049709, MeanIC: 0.964410555555555, FlowsMissed: 0
<SJF-P> 7: Completed Requests: 2000, Min: 0.0930000000189466, Max: 0.337000000068656, Mean: 0.189484000038603, 99th Perc: 0.278000000056636, MeanIC: 0.847818888888888, FlowsMissed: 0
<TCP> 8: Completed Requests: 2000, Min: 0.115000000023429, Max: 0.345000000070286, Mean: 0.224550000045747, 99th Perc: 0.317000000064581, MeanIC: 0.730324444444445, FlowsMissed: 0
<EDF-NP> 8: Completed Requests: 2000, Min: 0.10200000002078, Max: 0.343000000069878, Mean: 0.200292500040805, 99th Perc: 0.285000000058062, MeanIC: 0.675346666666666, FlowsMissed: 0
<EDF-P> 8: Completed Requests: 2000, Min: 0.10200000002078, Max: 0.319000000064989, Mean: 0.199427000040629, 99th Perc: 0.286000000058266, MeanIC: 0.659944444444443, FlowsMissed: 15100
<Vriksha> 8: Completed Requests: 2000, Min: 0.109000000022206, Max: 0.291000000059285, Mean: 0.191230000038959, 99th Perc: 0.242000000049302, MeanIC: 0.950512777777777, FlowsMissed: 0
<SJF-P> 8: Completed Requests: 2000, Min: 0.103000000020984, Max: 0.309000000062952, Mean: 0.196923000040119, 99th Perc: 0.28700000005847, MeanIC: 0.760523888888888, FlowsMissed: 0
<TCP> 9: Completed Requests: 2000, Min: 0.20400000004156, Max: 0.517000000105327, Mean: 0.350793000071466, 99th Perc: 0.477000000097178, MeanIC: 0.0606605555555556, FlowsMissed: 0
<EDF-NP> 9: Completed Requests: 2000, Min: 0.146000000029744, Max: 0.369000000075175, Mean: 0.245350500049984, 99th Perc: 0.325000000066211, MeanIC: 0.296237777777778, FlowsMissed: 0
<EDF-P> 9: Completed Requests: 2000, Min: 0.108000000022002, Max: 0.316000000064378, Mean: 0.205722000041911, 99th Perc: 0.286000000058266, MeanIC: 0.480905000000001, FlowsMissed: 91017
<Vriksha> 9: Completed Requests: 2000, Min: 0.180000000036671, Max: 0.294000000059896, Mean: 0.234315500047736, 99th Perc: 0.258000000052562, MeanIC: 0.970443888888893, FlowsMissed: 0
<SJF-P> 9: Completed Requests: 2000, Min: 0.113000000023021, Max: 0.323000000065804, Mean: 0.200216500040789, 99th Perc: 0.28700000005847, MeanIC: 0.653844999999999, FlowsMissed: 0
<TCP> 10: Completed Requests: 1969, Min: 0.455000000092696, Max: 2.83800000057818, Mean: 1.64663636397183, 99th Perc: 2.78300000056697, MeanIC: 0.00568083065289783, FlowsMissed: 0
<EDF-NP> 10: Completed Requests: 1971, Min: 0.376000000076601, Max: 2.83100000057675, Mean: 1.6087387116418, 99th Perc: 2.74400000055903, MeanIC: 0.143466937256891, FlowsMissed: 0
<EDF-P> 10: Completed Requests: 2000, Min: 0.122000000024855, Max: 0.323000000065804, Mean: 0.21086900004296, 99th Perc: 0.290000000059081, MeanIC: 0.303387777777778, FlowsMissed: 399071
<Vriksha> 10: Completed Requests: 1965, Min: 0.439000000089436, Max: 2.8180000005741, Mean: 1.63893180694967, 99th Perc: 2.78800000056799, MeanIC: 0.993027989821886, FlowsMissed: 0
<SJF-P> 10: Completed Requests: 2000, Min: 0.115000000023429, Max: 0.3220000000656, Mean: 0.202605500041276, 99th Perc: 0.289000000058877, MeanIC: 0.58685, FlowsMissed: 0
<TCP> 11: Completed Requests: 1793, Min: 0.669000000136293, Max: 4.92700000100376, Mean: 2.81419576186725, 99th Perc: 4.85500000098909, MeanIC: 0.00399888455103183, FlowsMissed: 0
<EDF-NP> 11: Completed Requests: 1790, Min: 0.622000000126718, Max: 4.9360000010056, Mean: 2.76969832458661, 99th Perc: 4.86000000099011, MeanIC: 0.104026070763501, FlowsMissed: 0
<EDF-P> 11: Completed Requests: 2000, Min: 0.128000000026077, Max: 0.345000000070286, Mean: 0.219639000044746, 99th Perc: 0.292000000059488, MeanIC: 0.195158888888889, FlowsMissed: 705041
<Vriksha> 11: Completed Requests: 1786, Min: 0.692000000140979, Max: 4.96000000101049, Mean: 2.82293897033995, 99th Perc: 4.92200000100274, MeanIC: 0.927099664053753, FlowsMissed: 0
<SJF-P> 11: Completed Requests: 2000, Min: 0.123000000025058, Max: 0.319000000064989, Mean: 0.205011000041766, 99th Perc: 0.290000000059081, MeanIC: 0.524435, FlowsMissed: 0
<TCP> 12: Completed Requests: 1641, Min: 0.920000000187429, Max: 6.74400000137393, Mean: 3.8463491781145, 99th Perc: 6.64000000135275, MeanIC: 0.00356896201503152, FlowsMissed: 0
<EDF-NP> 12: Completed Requests: 1634, Min: 0.840000000171131, Max: 6.81000000138738, Mean: 3.80849388082485, 99th Perc: 6.72000000136904, MeanIC: 0.109184686522508, FlowsMissed: 0
<EDF-P> 12: Completed Requests: 2000, Min: 0.217000000044209, Max: 0.91500000018641, Mean: 0.564446500114993, 99th Perc: 0.876000000178465, MeanIC: 0.048041111111111, FlowsMissed: 886916
<Vriksha> 12: Completed Requests: 1634, Min: 0.913000000186003, Max: 6.79300000138392, Mean: 3.86286107789835, 99th Perc: 6.74900000137495, MeanIC: 0.909955120359046, FlowsMissed: 0
<SJF-P> 12: Completed Requests: 2000, Min: 0.123000000025058, Max: 0.315000000064174, Mean: 0.204909500041746, 99th Perc: 0.283000000057655, MeanIC: 0.467272777777776, FlowsMissed: 0
<TCP> 13: Completed Requests: 1503, Min: 1.13700000023164, Max: 8.37600000170642, Mean: 4.77562075945596, 99th Perc: 8.28700000168828, MeanIC: 0.00338877799955649, FlowsMissed: 0
<EDF-NP> 13: Completed Requests: 1509, Min: 1.0720000002184, Max: 8.32900000169684, Mean: 4.71389397047658, 99th Perc: 8.23100000167688, MeanIC: 0.10200942493189, FlowsMissed: 0
<EDF-P> 13: Completed Requests: 2000, Min: 0.36500000007436, Max: 2.37100000048304, Mean: 1.36959400027902, 99th Perc: 2.30100000046878, MeanIC: 0.0539394444444445, FlowsMissed: 887128
<Vriksha> 13: Completed Requests: 1498, Min: 1.16200000023673, Max: 8.41200000171375, Mean: 4.77601802500505, 99th Perc: 8.34200000169949, MeanIC: 0.99592790387183, FlowsMissed: 0
<SJF-P> 13: Completed Requests: 2000, Min: 0.123000000025058, Max: 0.317000000064581, Mean: 0.205981500041964, 99th Perc: 0.293000000059692, MeanIC: 0.42087, FlowsMissed: 0
<TCP> 14: Completed Requests: 1379, Min: 1.36500000027809, Max: 9.84600000200589, Mean: 5.64628426510969, 99th Perc: 9.78500000199347, MeanIC: 0.00310853275320284, FlowsMissed: 0
<EDF-NP> 14: Completed Requests: 1395, Min: 1.32300000026953, Max: 9.69800000197574, Mean: 5.52915914091138, 99th Perc: 9.58900000195354, MeanIC: 0.0894392672242134, FlowsMissed: 0
<EDF-P> 14: Completed Requests: 1921, Min: 0.476000000096974, Max: 3.4070000006941, Mean: 1.9578505990454, 99th Perc: 3.33000000067841, MeanIC: 0.045869628087223, FlowsMissed: 887469
<Vriksha> 14: Completed Requests: 1387, Min: 1.39800000028481, Max: 9.75300000198695, Mean: 5.58041961180739, 99th Perc: 9.67500000197106, MeanIC: 0.977337178562845, FlowsMissed: 0
<SJF-P> 14: Completed Requests: 2000, Min: 0.123000000025058, Max: 0.328000000066822, Mean: 0.206027500041973, 99th Perc: 0.289000000058877, MeanIC: 0.378379999999999, FlowsMissed: 0
