<TCP> 0.05: Completed Requests: 2000, Min: 0.0820000000003915, Max: 0.279000000001332, Mean: 0.167534000000266, 99th Perc: 0.253999999999408, MeanIC: 0.790085, FlowsMissed: 0
<EDF-NP> 0.05: Completed Requests: 2000, Min: 0.0820000000003915, Max: 0.274000000001308, Mean: 0.165109000000789, 99th Perc: 0.249000000001189, MeanIC: 0.846276666666668, FlowsMissed: 0
<EDF-P> 0.05: Completed Requests: 2000, Min: 0.081999999998061, Max: 0.274999999993497, Mean: 0.165492499996367, 99th Perc: 0.250999999994065, MeanIC: 0.890301666666666, FlowsMissed: 0
<Vriksha> 0.05: Completed Requests: 2000, Min: 0.081999999998061, Max: 0.272999999993544, Mean: 0.166155999996071, 99th Perc: 0.251999999994041, MeanIC: 0.960678888888888, FlowsMissed: 0
<TCP> 0.048: Completed Requests: 2000, Min: 0.0879999999979191, Max: 0.279999999993379, Mean: 0.168795999996009, 99th Perc: 0.251999999994041, MeanIC: 0.862464444444444, FlowsMissed: 0
<EDF-NP> 0.048: Completed Requests: 2000, Min: 0.081999999998061, Max: 0.272999999993544, Mean: 0.1649299999961, 99th Perc: 0.241999999994277, MeanIC: 0.891168333333332, FlowsMissed: 0
<EDF-P> 0.048: Completed Requests: 2000, Min: 0.081999999998061, Max: 0.272999999993544, Mean: 0.1649299999961, 99th Perc: 0.241999999994277, MeanIC: 0.891168333333332, FlowsMissed: 0
<Vriksha> 0.048: Completed Requests: 2000, Min: 0.081999999998061, Max: 0.270999999993592, Mean: 0.165960499996076, 99th Perc: 0.241999999994277, MeanIC: 0.955395555555554, FlowsMissed: 0
<TCP> 0.046: Completed Requests: 2000, Min: 0.0839999999980137, Max: 0.286999999993213, Mean: 0.167797999996032, 99th Perc: 0.255999999993946, MeanIC: 0.840208333333333, FlowsMissed: 0
<EDF-NP> 0.046: Completed Requests: 2000, Min: 0.0809999999980846, Max: 0.271999999993568, Mean: 0.165024499996098, 99th Perc: 0.245999999994183, MeanIC: 0.884249444444444, FlowsMissed: 0
<EDF-P> 0.046: Completed Requests: 2000, Min: 0.0809999999980846, Max: 0.271999999993568, Mean: 0.165024499996098, 99th Perc: 0.245999999994183, MeanIC: 0.884249444444444, FlowsMissed: 0
<Vriksha> 0.046: Completed Requests: 2000, Min: 0.0809999999980846, Max: 0.279999999993379, Mean: 0.165168499996094, 99th Perc: 0.246999999994159, MeanIC: 0.949612777777774, FlowsMissed: 0
<TCP> 0.044: Completed Requests: 2000, Min: 0.0839999999980137, Max: 0.284999999993261, Mean: 0.168441499996017, 99th Perc: 0.247999999994136, MeanIC: 0.843835000000001, FlowsMissed: 0
