<EDF-P> 6: Completed Requests: 2000, Min: 0.0839999999980137, Max: 0.275999999993473, Mean: 0.166362499996066, 99th Perc: 0.248999999994112, MeanIC: 0.556162222222222, FlowsMissed: 553
<Vriksha> 6: Completed Requests: 2000, Min: 0.0869999999979427, Max: 0.271999999993568, Mean: 0.168411499996018, 99th Perc: 0.241999999994277, MeanIC: 0.810025555555556, FlowsMissed: 0
<SJF-P> 6: Completed Requests: 2000, Min: 0.081999999998061, Max: 0.290999999993119, Mean: 0.165029999996098, 99th Perc: 0.250999999994065, MeanIC: 0.653371666666666, FlowsMissed: 0
<TCP> 7: Completed Requests: 2000, Min: 0.0809999999980846, Max: 0.310999999992646, Mean: 0.186979499995579, 99th Perc: 0.277999999993426, MeanIC: 0.397395, FlowsMissed: 0
<EDF-NP> 7: Completed Requests: 2000, Min: 0.0839999999980137, Max: 0.29899999999293, Mean: 0.167106999996048, 99th Perc: 0.250999999994065, MeanIC: 0.421359444444445, FlowsMissed: 0
<EDF-P> 7: Completed Requests: 2000, Min: 0.0839999999980137, Max: 0.28799999999319, Mean: 0.167807499996032, 99th Perc: 0.25499999999397, MeanIC: 0.408746111111111, FlowsMissed: 3569
<Vriksha> 7: Completed Requests: 2000, Min: 0.0929999999978008, Max: 0.262999999993781, Mean: 0.174694999995869, 99th Perc: 0.248999999994112, MeanIC: 0.772165, FlowsMissed: 0
<SJF-P> 7: Completed Requests: 2000, Min: 0.0839999999980137, Max: 0.272999999993544, Mean: 0.165056999996097, 99th Perc: 0.240999999994301, MeanIC: 0.578230555555556, FlowsMissed: 0
<TCP> 8: Completed Requests: 2000, Min: 0.103999999997541, Max: 0.326999999992267, Mean: 0.201693499995231, 99th Perc: 0.28799999999319, MeanIC: 0.21995, FlowsMissed: 0
<EDF-NP> 8: Completed Requests: 2000, Min: 0.0839999999980137, Max: 0.269999999993615, Mean: 0.169473999995992, 99th Perc: 0.250999999994065, MeanIC: 0.289773333333334, FlowsMissed: 0
<EDF-P> 8: Completed Requests: 2000, Min: 0.08499999999799, Max: 0.286999999993213, Mean: 0.168888999996006, 99th Perc: 0.250999999994065, MeanIC: 0.293313333333334, FlowsMissed: 17202
<Vriksha> 8: Completed Requests: 2000, Min: 0.0959999999977299, Max: 0.277999999993426, Mean: 0.184651499995634, 99th Perc: 0.244999999994207, MeanIC: 0.75553111111111, FlowsMissed: 0
<SJF-P> 8: Completed Requests: 2000, Min: 0.08499999999799, Max: 0.286999999993213, Mean: 0.167064999996049, 99th Perc: 0.244999999994207, MeanIC: 0.499331666666667, FlowsMissed: 0
<TCP> 9: Completed Requests: 2000, Min: 0.166999999996051, Max: 0.426999999989903, Mean: 0.300706499992889, 99th Perc: 0.39199999999073, MeanIC: 0.0115544444444447, FlowsMissed: 0
<EDF-NP> 9: Completed Requests: 2000, Min: 0.0939999999977772, Max: 0.320999999992409, Mean: 0.185086999995623, 99th Perc: 0.262999999993781, MeanIC: 0.0690338888888888, FlowsMissed: 0
<EDF-P> 9: Completed Requests: 2000, Min: 0.08499999999799, Max: 0.300999999992882, Mean: 0.168224499996022, 99th Perc: 0.253999999993994, MeanIC: 0.1819, FlowsMissed: 104111
<Vriksha> 9: Completed Requests: 2000, Min: 0.179999999995744, Max: 0.282999999993308, Mean: 0.24398849999423, 99th Perc: 0.264999999993734, MeanIC: 0.845779999999999, FlowsMissed: 0
<SJF-P> 9: Completed Requests: 2000, Min: 0.08499999999799, Max: 0.280999999993355, Mean: 0.168350999996019, 99th Perc: 0.248999999994112, MeanIC: 0.437642222222222, FlowsMissed: 0
<TCP> 10: Completed Requests: 1969, Min: 0.42499999998995, Max: 2.82199999993327, Mean: 1.62623158960096, 99th Perc: 2.77499999993438, MeanIC: 0.00213362677049833, FlowsMissed: 0
<EDF-NP> 10: Completed Requests: 1973, Min: 0.332999999992126, Max: 2.75199999993492, Mean: 1.55043841861514, 99th Perc: 2.70599999993601, MeanIC: 0.0200675789829364, FlowsMissed: 0
<EDF-P> 10: Completed Requests: 2000, Min: 0.08499999999799, Max: 0.299999999992906, Mean: 0.171036999995956, 99th Perc: 0.247999999994136, MeanIC: 0.0949644444444446, FlowsMissed: 399810
<Vriksha> 10: Completed Requests: 1965, Min: 0.431999999989785, Max: 2.80699999993362, Mean: 1.63497302795116, 99th Perc: 2.78599999993412, MeanIC: 0.746412779191405, FlowsMissed: 0
<SJF-P> 10: Completed Requests: 2000, Min: 0.08499999999799, Max: 0.280999999993355, Mean: 0.167501499996039, 99th Perc: 0.244999999994207, MeanIC: 0.379422777777778, FlowsMissed: 0
<TCP> 11: Completed Requests: 1800, Min: 0.640999999984842, Max: 4.89799999988418, Mean: 2.7763655554899, 99th Perc: 4.80799999988631, MeanIC: 0.00188950617283954, FlowsMissed: 0
<EDF-NP> 11: Completed Requests: 1791, Min: 0.574999999986403, Max: 4.92799999988347, Mean: 2.74026074812057, 99th Perc: 4.83099999988576, MeanIC: 0.0166474347043865, FlowsMissed: 0
<EDF-P> 11: Completed Requests: 2000, Min: 0.0949999999977535, Max: 0.297999999992953, Mean: 0.184154499995645, 99th Perc: 0.262999999993781, MeanIC: 0.0502327777777777, FlowsMissed: 704944
<Vriksha> 11: Completed Requests: 1789, Min: 0.684999999983802, Max: 4.92999999988342, Mean: 2.8071939630415, 99th Perc: 4.87899999988463, MeanIC: 0.511175703372462, FlowsMissed: 0
<SJF-P> 11: Completed Requests: 2000, Min: 0.08499999999799, Max: 0.304999999992788, Mean: 0.167261499996045, 99th Perc: 0.244999999994207, MeanIC: 0.325776666666667, FlowsMissed: 0
<TCP> 12: Completed Requests: 1641, Min: 0.865999999979522, Max: 6.68699999984187, Mean: 3.80278123086681, 99th Perc: 6.62099999984343, MeanIC: 0.00186200826054576, FlowsMissed: 0
<EDF-NP> 12: Completed Requests: 1642, Min: 0.767999999981839, Max: 6.71999999984109, Mean: 3.77161023133591, 99th Perc: 6.60799999984374, MeanIC: 0.0149614291514417, FlowsMissed: 0
<EDF-P> 12: Completed Requests: 2000, Min: 0.198999999995294, Max: 0.920999999978221, Mean: 0.546417499987079, 99th Perc: 0.86099999997964, MeanIC: 0.0141622222222224, FlowsMissed: 885414
<Vriksha> 12: Completed Requests: 1635, Min: 0.906999999978552, Max: 6.77999999983967, Mean: 3.83508562682063, 99th Perc: 6.71899999984112, MeanIC: 0.420855589534489, FlowsMissed: 0
